sample,jaccard_index,original_class,MLPC_class,MLPC_features,SVC_class,SVC_features
430,0.7272727272727273,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'x', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'y', 'x', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
431,0.6363636363636364,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'theta', 'y', 'x', 'middleGamma', 'E4_HR', 'E4_BVP'}"
433,0.6363636363636364,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'y', 'x', 'middleGamma', 'E4_HR', 'E4_BVP'}"
444,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
454,0.8571428571428571,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'x', 'middleGamma', 'E4_HR', 'E4_BVP'}"
457,0.8571428571428571,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
462,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
469,0.6666666666666666,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
476,0.8571428571428571,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}"
482,0.6666666666666666,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'x', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
484,0.875,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
501,0.7142857142857143,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}"
505,0.625,4,4,"{'E4_EDA', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
543,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
564,0.8571428571428571,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
578,1.0,4,4,"{'middleGamma', 'E4_EDA', 'E4_HR'}",4,"{'middleGamma', 'E4_EDA', 'E4_HR'}"
586,1.0,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
588,1.0,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
611,1.0,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}"
612,1.0,4,4,"{'middleGamma', 'E4_EDA', 'E4_HR'}",4,"{'middleGamma', 'E4_EDA', 'E4_HR'}"
628,0.6666666666666666,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'y', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
644,0.8571428571428571,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
659,1.0,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'theta', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_TEMP', 'E4_IBI', 'theta', 'middleGamma', 'E4_HR', 'E4_BVP'}"
664,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
672,0.6666666666666666,4,4,"{'z', 'E4_EDA', 'E4_TEMP', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'y', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
681,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
696,0.2222222222222222,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
697,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
701,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
708,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
729,1.0,4,4,{'middleGamma'},4,{'middleGamma'}
736,0.14285714285714285,4,4,{'middleGamma'},4,"{'z', 'E4_EDA', 'E4_IBI', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
754,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
773,1.0,4,4,"{'E4_EDA', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
776,1.0,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'middleGamma', 'E4_HR', 'E4_BVP'}"
780,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
800,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
812,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
828,1.0,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'x', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'E4_IBI', 'theta', 'x', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
842,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
848,1.0,4,4,"{'z', 'E4_EDA', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
849,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
853,1.0,4,4,"{'middleGamma', 'E4_EDA'}",4,"{'middleGamma', 'E4_EDA'}"
866,1.0,4,4,"{'middleGamma', 'E4_HR'}",4,"{'middleGamma', 'E4_HR'}"
890,1.0,4,4,"{'E4_EDA', 'lowGamma', 'lowBeta', 'highBeta', 'highAlpha', 'middleGamma', 'E4_HR'}",4,"{'E4_EDA', 'lowGamma', 'lowBeta', 'highBeta', 'highAlpha', 'middleGamma', 'E4_HR'}"
896,1.0,4,4,"{'E4_EDA', 'lowGamma'}",4,"{'E4_EDA', 'lowGamma'}"
898,1.0,4,4,"{'E4_EDA', 'lowGamma', 'theta', 'lowBeta', 'highBeta', 'highAlpha'}",4,"{'E4_EDA', 'lowGamma', 'theta', 'lowBeta', 'highBeta', 'highAlpha'}"
902,1.0,4,4,"{'E4_EDA', 'lowGamma'}",4,"{'E4_EDA', 'lowGamma'}"
906,1.0,4,4,"{'E4_EDA', 'lowGamma', 'theta', 'lowBeta', 'highBeta', 'highAlpha', 'E4_HR'}",4,"{'E4_EDA', 'lowGamma', 'theta', 'lowBeta', 'highBeta', 'highAlpha', 'E4_HR'}"
914,1.0,4,4,"{'E4_EDA', 'lowGamma'}",4,"{'E4_EDA', 'lowGamma'}"
926,1.0,4,4,"{'lowGamma', 'E4_HR'}",4,"{'lowGamma', 'E4_HR'}"
930,0.42857142857142855,4,4,"{'E4_EDA', 'lowGamma', 'theta', 'lowBeta', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'E4_HR'}",4,"{'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'delta', 'E4_BVP'}"
936,0.5384615384615384,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'highAlpha', 'middleGamma', 'E4_HR'}",4,"{'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'theta', 'lowBeta', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'E4_HR'}"
942,0.38461538461538464,4,4,"{'E4_EDA', 'E4_IBI', 'theta', 'y', 'highAlpha', 'x', 'middleGamma'}",4,"{'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'highAlpha', 'highBeta', 'middleGamma', 'delta', 'E4_BVP'}"
943,0.5384615384615384,4,4,"{'E4_EDA', 'lowGamma', 'E4_IBI', 'lowBeta', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'delta', 'E4_BVP'}",4,"{'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'highBeta', 'x', 'highAlpha', 'delta', 'E4_HR'}"
949,0.5,4,4,"{'z', 'E4_EDA', 'E4_IBI', 'y', 'highBeta', 'delta', 'E4_HR'}",4,"{'z', 'E4_EDA', 'lowAlpha', 'E4_TEMP', 'E4_IBI', 'lowBeta', 'y', 'delta'}"
957,1.0,4,4,"{'E4_EDA', 'lowGamma', 'theta', 'lowBeta', 'highBeta', 'highAlpha', 'middleGamma', 'E4_HR'}",4,"{'E4_EDA', 'lowGamma', 'theta', 'lowBeta', 'highBeta', 'highAlpha', 'middleGamma', 'E4_HR'}"
962,0.7692307692307693,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'lowBeta', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'E4_HR'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'lowBeta', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'E4_HR'}"
971,0.8333333333333334,4,4,"{'z', 'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'E4_HR'}",4,"{'z', 'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_IBI', 'lowBeta', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'E4_HR'}"
985,0.7692307692307693,4,4,"{'z', 'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_IBI', 'lowBeta', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'E4_HR'}",4,"{'z', 'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'E4_HR'}"
998,1.0,4,4,"{'E4_EDA', 'lowGamma', 'lowAlpha', 'highBeta', 'highAlpha'}",4,"{'E4_EDA', 'lowGamma', 'lowAlpha', 'highBeta', 'highAlpha'}"
1003,1.0,4,4,"{'E4_EDA', 'lowGamma'}",4,"{'E4_EDA', 'lowGamma'}"
1005,1.0,4,4,"{'z', 'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_IBI', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'delta', 'E4_HR'}",4,"{'z', 'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_IBI', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'delta', 'E4_HR'}"
1030,0.2222222222222222,4,4,"{'E4_EDA', 'highAlpha'}",4,"{'E4_EDA', 'E4_TEMP', 'E4_IBI', 'y', 'x', 'highAlpha', 'highBeta', 'E4_HR', 'E4_BVP'}"
1039,0.9166666666666666,4,4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'lowBeta', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'E4_HR'}",4,"{'z', 'E4_EDA', 'lowGamma', 'E4_IBI', 'theta', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'E4_HR'}"
1043,0.6923076923076923,4,4,"{'E4_EDA', 'lowAlpha', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'lowAlpha', 'lowGamma', 'highBeta', 'x', 'highAlpha', 'middleGamma', 'E4_HR', 'E4_BVP'}"
1053,0.6666666666666666,4,4,"{'E4_EDA', 'lowGamma', 'E4_TEMP', 'E4_IBI', 'y', 'x', 'highAlpha', 'highBeta', 'middleGamma', 'E4_HR', 'E4_BVP'}",4,"{'E4_EDA', 'lowGamma', 'E4_IBI', 'lowBeta', 'y', 'x', 'highAlpha', 'highBeta', 'E4_HR'}"
1072,0.25,4,4,"{'E4_EDA', 'Meditation', 'lowGamma', 'E4_IBI', 'y', 'x', 'highAlpha', 'E4_BVP'}",4,"{'z', 'E4_EDA', 'Attention', 'E4_IBI', 'theta', 'x', 'middleGamma'}"
1090,0.6666666666666666,4,4,"{'E4_EDA', 'Attention', 'lowAlpha', 'lowGamma', 'Meditation', 'E4_IBI', 'theta', 'highBeta', 'highAlpha', 'middleGamma', 'E4_BVP'}",4,"{'E4_EDA', 'Attention', 'lowGamma', 'Meditation', 'E4_IBI', 'y', 'highAlpha', 'highBeta', 'middleGamma'}"
1097,1.0,4,4,"{'Meditation', 'highAlpha', 'E4_IBI'}",4,"{'Meditation', 'highAlpha', 'E4_IBI'}"
1126,1.0,4,4,{'E4_IBI'},4,{'E4_IBI'}
1138,1.0,4,4,{'z'},4,{'z'}
1164,1.0,4,4,{'E4_EDA'},4,{'E4_EDA'}
1165,1.0,4,4,"{'middleGamma', 'E4_EDA', 'lowGamma'}",4,"{'middleGamma', 'E4_EDA', 'lowGamma'}"
1169,1.0,4,4,{'E4_EDA'},4,{'E4_EDA'}
1175,1.0,4,4,{'E4_EDA'},4,{'E4_EDA'}
1180,1.0,4,4,{'E4_EDA'},4,{'E4_EDA'}
1181,1.0,4,4,{'E4_EDA'},4,{'E4_EDA'}
1182,1.0,4,4,"{'lowGamma', 'E4_EDA', 'lowAlpha'}",4,"{'lowGamma', 'E4_EDA', 'lowAlpha'}"
1194,1.0,4,4,"{'E4_EDA', 'E4_HR', 'lowAlpha'}",4,"{'E4_EDA', 'E4_HR', 'lowAlpha'}"
1219,1.0,4,4,"{'z', 'E4_HR'}",4,"{'z', 'E4_HR'}"
1221,1.0,4,4,{'z'},4,{'z'}
1227,1.0,4,4,{'z'},4,{'z'}
1246,1.0,4,4,{'z'},4,{'z'}
1253,1.0,4,4,{'z'},4,{'z'}
1256,1.0,4,4,{'z'},4,{'z'}
1270,1.0,4,4,"{'z', 'E4_EDA', 'highBeta'}",4,"{'z', 'E4_EDA', 'highBeta'}"
1278,1.0,4,4,{'z'},4,{'z'}
1281,1.0,4,4,{'z'},4,{'z'}
1285,1.0,4,4,"{'z', 'lowGamma', 'E4_HR'}",4,"{'z', 'lowGamma', 'E4_HR'}"
1288,1.0,4,4,{'z'},4,{'z'}
1295,1.0,4,4,{'z'},4,{'z'}
1314,1.0,4,4,"{'z', 'E4_EDA'}",4,"{'z', 'E4_EDA'}"
1318,1.0,4,4,"{'z', 'E4_EDA'}",4,"{'z', 'E4_EDA'}"
1322,1.0,4,4,"{'z', 'E4_EDA', 'highBeta'}",4,"{'z', 'E4_EDA', 'highBeta'}"
1326,1.0,4,4,{'E4_EDA'},4,{'E4_EDA'}
1334,1.0,4,4,{'E4_EDA'},4,{'E4_EDA'}
1349,1.0,4,3,"{'middleGamma', 'E4_EDA', 'lowGamma'}",3,"{'middleGamma', 'E4_EDA', 'lowGamma'}"
1372,1.0,4,4,{'z'},4,{'z'}
1388,1.0,4,4,"{'z', 'middleGamma', 'E4_HR', 'lowAlpha'}",4,"{'z', 'middleGamma', 'E4_HR', 'lowAlpha'}"
1390,1.0,4,4,{'z'},4,{'z'}
1397,1.0,4,4,{'z'},4,{'z'}
1400,1.0,4,4,{'z'},4,{'z'}
1402,1.0,4,4,{'z'},4,{'z'}
1410,1.0,4,4,{'z'},4,{'z'}
